787:275 0:787:275:3:3 
316:489 0:316:489:3:3 
171:86 0:171:86:3:3 
245:61 0:245:61:3:3 
797:438 0:797:438:3:3 
29:44 0:29:44:3:3 
858:132 0:858:132:3:3 
792:86 0:792:86:3:3 
787:384 0:787:384:3:3 
347:393 0:347:393:3:3 
669:124 0:669:124:3:3 
66:467 0:66:467:3:3 
801:44 0:801:44:3:3 
546:32 0:546:32:3:3 
532:180 0:532:180:3:3 
845:283 0:845:283:3:3 
303:275 0:303:275:3:3 
288:72 0:288:72:3:3 
15:143 0:15:143:3:3 
878:413 0:878:413:3:3 
804:406 0:804:406:3:3 
170:420 0:170:420:3:3 
189:136 0:189:136:3:3 
407:305 0:407:305:3:3 
66:245 0:66:245:3:3 
449:251 0:449:251:3:3 
857:230 0:857:230:3:3 
532:394 0:532:394:3:3 
458:379 0:458:379:3:3 
4:35 3:4:35:3:3 
844:315 0:844:315:3:3 
443:258 0:443:258:3:3 
829:457 0:829:457:3:3 
667:274 0:667:274:3:3 
153:245 0:153:245:3:3 
231:499 0:231:499:3:3 
506:222 0:506:222:3:3 
839:240 0:839:240:3:3 
108:126 0:108:126:3:3 
387:91 0:387:91:3:3 
795:118 0:795:118:3:3 
512:10 0:512:10:3:3 
501:89 0:501:89:3:3 
47:493 0:47:493:3:3 
505:30 0:505:30:3:3 
88:242 0:88:242:3:3 
363:72 0:363:72:3:3 
476:361 0:476:361:3:3 
573:53 0:573:53:3:3 
18:319 0:18:319:3:3 
245:36 0:245:36:3:3 
762:126 0:762:126:3:3 
529:55 0:529:55:3:3 
639:212 0:639:212:3:3 
415:286 0:415:286:3:3 
443:13 0:443:13:3:3 
865:383 0:865:383:3:3 
738:231 0:738:231:3:3 
256:456 0:256:456:3:3 
889:113 0:889:113:3:3 
373:128 0:373:128:3:3 
875:66 2:875:66:2:2 
804:462 0:804:462:3:3 
255:172 0:255:172:3:3 
809:336 0:809:336:3:3 
315:11 0:315:11:3:3 
888:311 0:888:311:3:3 
743:203 0:743:203:3:3 
690:469 0:690:469:3:3 
784:18 0:784:18:3:3 
311:127 0:311:127:3:3 
386:338 0:386:338:3:3 
153:69 0:153:69:3:3 
12:184 0:12:184:3:3 
732:239 0:732:239:3:3 
518:469 0:518:469:3:3 
349:345 0:349:345:3:3 
44:233 0:44:233:3:3 
138:354 0:138:354:3:3 
382:18 0:382:18:3:3 
713:238 0:713:238:3:3 
822:280 0:822:280:3:3 
290:169 0:290:169:3:3 
684:281 0:684:281:3:3 
208:482 0:208:482:3:3 
315:326 0:315:326:3:3 
67:297 0:67:297:3:3 
894:446 0:894:446:3:3 
698:141 0:698:141:3:3 
718:200 0:718:200:3:3 
522:351 0:522:351:3:3 
10:139 0:10:139:3:3 
449:444 0:449:444:3:3 
637:392 0:637:392:3:3 
784:478 0:784:478:3:3 
110:376 0:110:376:3:3 
43:321 0:43:321:3:3 
261:282 0:261:282:3:3 
389:341 0:389:341:3:3 
707:230 0:707:230:3:3 
101:91 0:101:91:3:3 
637:121 0:637:121:3:3 
617:481 0:617:481:3:3 
110:235 0:110:235:3:3 
720:363 0:720:363:3:3 
792:104 0:792:104:3:3 
665:286 0:665:286:3:3 
613:240 0:613:240:3:3 
523:200 0:523:200:3:3 
731:109 0:731:109:3:3 
661:330 0:661:330:3:3 
14:249 0:14:249:3:3 
673:148 0:673:148:3:3 
33:53 0:33:53:3:3 
824:296 0:824:296:3:3 
546:349 2:546:349:2:2 
185:498 0:185:498:3:3 
81:321 0:81:321:3:3 
163:107 0:163:107:3:3 
321:242 0:321:242:3:3 
854:452 0:854:452:3:3 
180:51 0:180:51:3:3 
378:372 0:378:372:3:3 
749:163 0:749:163:3:3 
228:264 0:228:264:3:3 
258:301 2:258:301:2:2 
27:305 2:27:305:2:2 
378:231 2:378:231:2:2 
787:235 0:787:235:3:3 
806:5 0:806:5:3:3 
844:456 0:844:456:3:3 
592:369 0:592:369:3:3 
351:232 0:351:232:3:3 
833:121 2:833:121:2:2 
320:470 0:320:470:3:3 
269:165 0:269:165:3:3 
786:81 0:786:81:3:3 
273:34 0:273:34:3:3 
93:417 0:93:417:3:3 
169:81 0:169:81:3:3 
226:2 0:226:2:3:3 
853:487 2:853:487:2:2 
710:304 0:710:304:3:3 
711:9 0:711:9:3:3 
288:417 0:288:417:3:3 
877:289 0:877:289:3:3 
516:9 0:516:9:3:3 
614:221 0:614:221:3:3 
685:201 0:685:201:3:3 
7:385 0:7:385:3:3 
122:450 0:122:450:3:3 
231:356 0:231:356:3:3 
197:276 0:197:276:3:3 
895:205 0:895:205:3:3 
349:249 0:349:249:3:3 
500:379 0:500:379:3:3 
852:16 0:852:16:3:3 
601:272 0:601:272:3:3 
552:204 0:552:204:3:3 
71:396 0:71:396:3:3 
607:366 0:607:366:3:3 
245:425 0:245:425:3:3 
83:66 0:83:66:3:3 
871:421 0:871:421:3:3 
799:408 0:799:408:3:3 
