438:406 0:438:406:3:3 
26:419 0:26:419:3:3 
377:176 3:377:176:3:3 
550:217 1:550:217:6:6 
304:345 2:304:345:2:2 
774:460 3:774:460:3:3 
779:242 3:779:242:3:3 
499:176 0:499:176:3:3 
212:417 0:212:417:3:3 
245:414 0:245:414:3:3 
250:70 2:250:70:2:2 
589:128 2:589:128:2:2 
153:208 2:153:208:2:2 
282:163 0:282:163:3:3 
378:72 2:378:72:2:2 
529:301 0:529:301:3:3 
582:218 2:582:218:2:2 
757:111 2:757:111:2:2 
111:53 1:111:53:6:6 
647:448 0:647:448:3:3 
821:101 0:821:101:3:3 
354:112 1:354:112:6:6 
233:219 2:233:219:2:2 
726:367 2:726:367:2:2 
647:56 0:647:56:3:3 
783:31 0:783:31:3:3 
815:351 0:815:351:3:3 
670:421 0:670:421:3:3 
114:245 2:114:245:2:2 
78:38 2:78:38:2:2 
741:194 2:741:194:2:2 
234:194 2:234:194:2:2 
410:53 2:410:53:2:2 
297:334 2:297:334:2:2 
814:44 0:814:44:3:3 
579:425 2:579:425:2:2 
51:77 2:51:77:2:2 
541:313 1:541:313:6:6 
181:32 2:181:32:2:2 
70:42 2:70:42:2:2 
107:247 2:107:247:2:2 
126:445 2:126:445:2:2 
557:457 2:557:457:2:2 
781:138 2:781:138:2:2 
-2:282 0:-2:282:3:3 
11:107 0:11:107:3:3 
378:412 0:378:412:3:3 
183:117 1:183:117:6:6 
335:360 2:335:360:2:2 
807:31 3:807:31:3:3 
204:304 2:204:304:2:2 
751:275 2:751:275:2:2 
195:37 1:195:37:6:6 
496:363 3:496:363:3:3 
501:345 3:501:345:3:3 
590:452 1:590:452:6:6 
532:276 0:532:276:3:3 
513:60 2:513:60:2:2 
625:386 2:625:386:2:2 
187:135 2:187:135:2:2 
331:161 2:331:161:2:2 
190:36 2:190:36:2:2 
269:32 2:269:32:2:2 
122:431 2:122:431:2:2 
271:371 1:271:371:6:6 
72:132 2:72:132:2:2 
330:426 0:330:426:3:3 
102:117 2:102:117:2:2 
668:8 3:668:8:3:3 
570:344 2:570:344:2:2 
441:58 3:441:58:3:3 
27:135 0:27:135:3:3 
126:177 0:126:177:3:3 
331:27 2:331:27:2:2 
331:217 2:331:217:2:2 
779:77 2:779:77:2:2 
408:169 0:408:169:3:3 
868:413 2:868:413:2:2 
765:127 1:765:127:6:6 
605:56 0:605:56:3:3 
555:60 0:555:60:3:3 
106:126 2:106:126:2:2 
636:307 0:636:307:3:3 
111:58 1:111:58:6:6 
226:162 0:226:162:3:3 
298:438 0:298:438:3:3 
620:73 0:620:73:3:3 
255:171 1:255:171:6:6 
608:154 2:608:154:2:2 
358:299 0:358:299:3:3 
289:347 2:289:347:2:2 
391:42 2:391:42:2:2 
349:481 0:349:481:3:3 
439:485 0:439:485:3:3 
58:299 2:58:299:2:2 
728:374 2:728:374:2:2 
561:100 0:561:100:3:3 
598:376 2:598:376:2:2 
791:279 3:791:279:3:3 
140:132 0:140:132:3:3 
105:108 2:105:108:2:2 
426:385 0:426:385:3:3 
827:399 0:827:399:3:3 
485:385 3:485:385:3:3 
269:384 0:269:384:3:3 
166:462 0:166:462:3:3 
