776:373 2:776:373:2:2 
470:390 0:470:390:3:3 
682:243 2:682:243:2:2 
807:260 0:807:260:3:3 
244:356 0:244:356:3:3 
354:394 0:354:394:3:3 
189:133 2:189:133:2:2 
887:153 0:887:153:3:3 
852:173 2:852:173:2:2 
647:222 2:647:222:2:2 
94:139 0:94:139:3:3 
668:430 0:668:430:3:3 
305:205 2:305:205:2:2 
823:7 0:823:7:3:3 
36:221 2:36:221:2:2 
868:442 2:868:442:2:2 
598:459 3:598:459:3:3 
462:332 0:462:332:3:3 
-2:212 3:-2:212:3:3 
837:427 0:837:427:3:3 
134:89 2:134:89:2:2 
351:119 2:351:119:2:2 
322:217 2:322:217:2:2 
231:395 0:231:395:3:3 
665:9 2:665:9:2:2 
422:458 0:422:458:3:3 
321:229 2:321:229:2:2 
876:368 2:876:368:2:2 
335:100 2:335:100:2:2 
837:65 2:837:65:2:2 
117:403 0:117:403:3:3 
368:187 2:368:187:2:2 
787:323 0:787:323:3:3 
854:47 1:854:47:6:6 
842:28 3:842:28:3:3 
542:198 0:542:198:3:3 
783:103 2:783:103:2:2 
19:167 3:19:167:3:3 
315:37 0:315:37:3:3 
375:296 2:375:296:2:2 
757:351 2:757:351:2:2 
688:457 0:688:457:3:3 
413:425 1:413:425:6:6 
846:473 3:846:473:3:3 
305:280 0:305:280:3:3 
665:359 0:665:359:3:3 
135:83 2:135:83:2:2 
16:371 2:16:371:2:2 
859:310 1:859:310:6:6 
193:23 2:193:23:2:2 
432:361 0:432:361:3:3 
336:125 1:336:125:6:6 
332:184 1:332:184:6:6 
489:453 0:489:453:3:3 
529:400 0:529:400:3:3 
332:264 0:332:264:3:3 
478:347 3:478:347:3:3 
752:326 2:752:326:2:2 
851:334 2:851:334:2:2 
281:384 2:281:384:2:2 
272:84 3:272:84:3:3 
450:157 3:450:157:3:3 
726:346 2:726:346:2:2 
73:212 0:73:212:3:3 
442:285 2:442:285:2:2 
778:147 2:778:147:2:2 
162:448 2:162:448:2:2 
591:365 0:591:365:3:3 
406:220 2:406:220:2:2 
231:297 0:231:297:3:3 
500:148 0:500:148:3:3 
271:262 0:271:262:3:3 
533:197 0:533:197:3:3 
43:175 2:43:175:2:2 
707:58 2:707:58:2:2 
336:113 3:336:113:3:3 
804:477 2:804:477:2:2 
880:84 2:880:84:2:2 
814:180 0:814:180:3:3 
637:117 2:637:117:2:2 
390:408 2:390:408:2:2 
312:277 0:312:277:3:3 
46:464 2:46:464:2:2 
413:214 3:413:214:3:3 
275:457 2:275:457:2:2 
890:215 0:890:215:3:3 
329:213 1:329:213:6:6 
310:465 2:310:465:2:2 
862:130 0:862:130:3:3 
143:262 0:143:262:3:3 
119:359 0:119:359:3:3 
878:108 2:878:108:2:2 
210:29 1:210:29:6:6 
648:292 0:648:292:3:3 
31:384 1:31:384:6:6 
633:215 1:633:215:6:6 
48:145 2:48:145:2:2 
367:24 2:367:24:2:2 
198:75 2:198:75:2:2 
106:422 0:106:422:3:3 
62:284 0:62:284:3:3 
212:361 0:212:361:3:3 
647:107 2:647:107:2:2 
417:1 0:417:1:3:3 
759:89 1:759:89:6:6 
728:80 1:728:80:6:6 
35:203 2:35:203:2:2 
478:189 0:478:189:3:3 
647:57 0:647:57:3:3 
453:419 0:453:419:3:3 
