212:141 2:212:141:2:2 
843:170 0:843:170:3:3 
137:323 2:137:323:2:2 
592:180 2:592:180:2:2 
236:303 1:236:303:6:6 
354:449 2:354:449:2:2 
565:265 2:565:265:2:2 
237:354 1:237:354:6:6 
276:240 2:276:240:2:2 
436:299 1:436:299:6:6 
368:90 1:368:90:6:6 
159:393 1:159:393:6:6 
789:343 0:789:343:3:3 
420:17 1:420:17:6:6 
177:471 2:177:471:2:2 
451:240 1:451:240:6:6 
163:369 2:163:369:2:2 
10:392 1:10:392:6:6 
147:285 2:147:285:2:2 
614:282 0:614:282:3:3 
21:242 0:21:242:3:3 
576:375 2:576:375:2:2 
264:227 2:264:227:2:2 
431:121 2:431:121:2:2 
527:182 2:527:182:2:2 
574:203 2:574:203:2:2 
336:192 2:336:192:2:2 
719:445 2:719:445:2:2 
168:390 2:168:390:2:2 
423:61 2:423:61:2:2 
857:240 3:857:240:3:3 
398:160 2:398:160:2:2 
167:298 2:167:298:2:2 
476:129 2:476:129:2:2 
770:165 0:770:165:3:3 
265:294 2:265:294:2:2 
476:134 2:476:134:2:2 
65:63 0:65:63:3:3 
72:355 2:72:355:2:2 
166:434 2:166:434:2:2 
269:141 2:269:141:2:2 
311:362 1:311:362:6:6 
290:242 2:290:242:2:2 
677:472 1:677:472:6:6 
582:455 1:582:455:6:6 
545:44 1:545:44:6:6 
626:24 1:626:24:6:6 
581:460 2:581:460:2:2 
256:172 2:256:172:2:2 
741:366 2:741:366:2:2 
471:227 2:471:227:2:2 
81:441 2:81:441:2:2 
337:251 2:337:251:2:2 
49:324 2:49:324:2:2 
25:80 2:25:80:2:2 
304:278 1:304:278:6:6 
59:28 0:59:28:3:3 
883:39 0:883:39:3:3 
168:267 1:168:267:6:6 
347:222 2:347:222:2:2 
464:447 0:464:447:3:3 
666:163 3:666:163:3:3 
46:440 1:46:440:6:6 
88:267 0:88:267:3:3 
750:28 2:750:28:2:2 
606:55 1:606:55:6:6 
827:187 1:827:187:6:6 
721:372 3:721:372:3:3 
304:156 0:304:156:3:3 
564:41 1:564:41:6:6 
614:349 3:614:349:3:3 
348:380 2:348:380:2:2 
520:30 3:520:30:3:3 
7:234 0:7:234:3:3 
311:347 2:311:347:2:2 
505:104 1:505:104:6:6 
770:412 1:770:412:6:6 
423:122 2:423:122:2:2 
705:82 0:705:82:3:3 
456:258 3:456:258:3:3 
834:387 0:834:387:3:3 
618:128 2:618:128:2:2 
727:137 2:727:137:2:2 
838:48 1:838:48:6:6 
84:315 0:84:315:3:3 
614:430 0:614:430:3:3 
464:209 2:464:209:2:2 
235:153 2:235:153:2:2 
334:376 2:334:376:2:2 
262:459 3:262:459:3:3 
401:438 3:401:438:3:3 
434:56 3:434:56:3:3 
153:278 1:153:278:6:6 
528:286 2:528:286:2:2 
263:446 0:263:446:3:3 
528:0 2:528:0:2:2 
173:311 2:173:311:2:2 
371:174 2:371:174:2:2 
628:169 2:628:169:2:2 
550:5 2:550:5:2:2 
592:26 2:592:26:2:2 
44:143 2:44:143:2:2 
706:287 2:706:287:2:2 
568:424 2:568:424:2:2 
29:397 2:29:397:2:2 
754:296 2:754:296:2:2 
835:368 0:835:368:3:3 
14:360 3:14:360:3:3 
822:85 2:822:85:2:2 
793:379 0:793:379:3:3 
557:21 1:557:21:6:6 
629:181 1:629:181:6:6 
224:425 1:224:425:6:6 
515:348 0:515:348:3:3 
299:150 1:299:150:6:6 
284:106 2:284:106:2:2 
840:288 0:840:288:3:3 
176:347 2:176:347:2:2 
349:78 2:349:78:2:2 
22:167 2:22:167:2:2 
487:214 2:487:214:2:2 
301:98 2:301:98:2:2 
418:267 2:418:267:2:2 
755:1 2:755:1:2:2 
707:268 2:707:268:2:2 
657:417 2:657:417:2:2 
575:69 2:575:69:2:2 
282:384 3:282:384:3:3 
385:159 1:385:159:6:6 
145:454 1:145:454:6:6 
622:229 1:622:229:6:6 
636:289 0:636:289:3:3 
438:273 1:438:273:6:6 
147:155 2:147:155:2:2 
40:63 1:40:63:6:6 
650:14 0:650:14:3:3 
223:55 3:223:55:3:3 
856:396 1:856:396:6:6 
189:454 2:189:454:2:2 
468:364 0:468:364:3:3 
105:355 3:105:355:3:3 
750:365 2:750:365:2:2 
858:210 2:858:210:2:2 
198:157 2:198:157:2:2 
598:76 2:598:76:2:2 
778:312 2:778:312:2:2 
105:177 2:105:177:2:2 
143:13 2:143:13:2:2 
553:366 2:553:366:2:2 
857:301 0:857:301:3:3 
265:318 2:265:318:2:2 
669:79 3:669:79:3:3 
62:175 1:62:175:6:6 
621:461 0:621:461:3:3 
35:461 2:35:461:2:2 
510:363 0:510:363:3:3 
218:133 2:218:133:2:2 
750:245 2:750:245:2:2 
718:182 2:718:182:2:2 
635:254 0:635:254:3:3 
68:283 0:68:283:3:3 
270:437 0:270:437:3:3 
56:319 1:56:319:6:6 
263:393 0:263:393:3:3 
799:456 0:799:456:3:3 
876:203 2:876:203:2:2 
614:374 0:614:374:3:3 
227:240 2:227:240:2:2 
182:33 2:182:33:2:2 
353:237 1:353:237:6:6 
549:332 2:549:332:2:2 
329:342 2:329:342:2:2 
142:454 2:142:454:2:2 
448:264 3:448:264:3:3 
635:361 3:635:361:3:3 
515:332 0:515:332:3:3 
471:81 2:471:81:2:2 
91:135 0:91:135:3:3 
215:108 2:215:108:2:2 
777:231 3:777:231:3:3 
270:456 0:270:456:3:3 
581:428 2:581:428:2:2 
635:202 1:635:202:6:6 
138:30 2:138:30:2:2 
780:74 1:780:74:6:6 
179:352 2:179:352:2:2 
63:94 0:63:94:3:3 
625:434 1:625:434:6:6 
63:231 0:63:231:3:3 
142:140 2:142:140:2:2 
422:233 2:422:233:2:2 
561:128 2:561:128:2:2 
