94:431 2:94:431:2:2 
810:366 3:810:366:3:3 
438:212 0:438:212:3:3 
11:436 2:11:436:2:2 
616:338 0:616:338:3:3 
869:303 2:869:303:2:2 
745:24 2:745:24:2:2 
703:437 0:703:437:3:3 
656:223 2:656:223:2:2 
246:17 0:246:17:3:3 
480:208 0:480:208:3:3 
255:343 0:255:343:3:3 
738:135 0:738:135:3:3 
430:217 0:430:217:3:3 
432:29 0:432:29:3:3 
819:456 2:819:456:2:2 
45:236 2:45:236:2:2 
343:453 2:343:453:2:2 
540:367 2:540:367:2:2 
241:300 3:241:300:3:3 
237:383 2:237:383:2:2 
626:151 0:626:151:3:3 
110:115 0:110:115:3:3 
1:68 2:1:68:2:2 
213:11 0:213:11:3:3 
885:344 2:885:344:2:2 
492:277 2:492:277:2:2 
544:342 2:544:342:2:2 
379:474 0:379:474:3:3 
278:106 0:278:106:3:3 
681:181 0:681:181:3:3 
782:27 3:782:27:3:3 
811:59 0:811:59:3:3 
292:291 0:292:291:3:3 
521:309 2:521:309:2:2 
861:315 2:861:315:2:2 
130:39 2:130:39:2:2 
179:464 2:179:464:2:2 
44:346 0:44:346:3:3 
807:390 2:807:390:2:2 
276:107 0:276:107:3:3 
656:246 2:656:246:2:2 
438:338 3:438:338:3:3 
620:193 0:620:193:3:3 
850:308 1:850:308:6:6 
266:182 2:266:182:2:2 
52:345 3:52:345:3:3 
379:430 0:379:430:3:3 
296:320 0:296:320:3:3 
510:119 0:510:119:3:3 
660:380 2:660:380:2:2 
841:255 0:841:255:3:3 
46:311 0:46:311:3:3 
246:291 2:246:291:2:2 
5:366 0:5:366:3:3 
471:398 0:471:398:3:3 
326:450 2:326:450:2:2 
231:394 1:231:394:6:6 
660:50 0:660:50:3:3 
631:487 2:631:487:2:2 
643:14 2:643:14:2:2 
40:33 2:40:33:2:2 
499:346 2:499:346:2:2 
874:185 1:874:185:6:6 
57:178 0:57:178:3:3 
616:92 0:616:92:3:3 
399:115 2:399:115:2:2 
787:412 2:787:412:2:2 
206:377 0:206:377:3:3 
114:305 2:114:305:2:2 
614:423 2:614:423:2:2 
345:43 3:345:43:3:3 
250:244 2:250:244:2:2 
794:233 2:794:233:2:2 
681:287 0:681:287:3:3 
227:17 3:227:17:3:3 
510:97 0:510:97:3:3 
28:208 2:28:208:2:2 
21:54 1:21:54:6:6 
870:188 2:870:188:2:2 
226:414 0:226:414:3:3 
598:370 2:598:370:2:2 
737:294 0:737:294:3:3 
371:259 0:371:259:3:3 
27:372 3:27:372:3:3 
204:60 0:204:60:3:3 
129:417 2:129:417:2:2 
177:453 1:177:453:6:6 
465:220 3:465:220:3:3 
173:101 0:173:101:3:3 
605:439 3:605:439:3:3 
132:195 1:132:195:6:6 
788:424 2:788:424:2:2 
580:193 0:580:193:3:3 
834:103 0:834:103:3:3 
642:221 1:642:221:6:6 
696:146 0:696:146:3:3 
404:248 0:404:248:3:3 
539:24 0:539:24:3:3 
766:197 2:766:197:2:2 
57:124 2:57:124:2:2 
331:365 0:331:365:3:3 
571:352 2:571:352:2:2 
83:51 0:83:51:3:3 
781:184 2:781:184:2:2 
86:214 0:86:214:3:3 
356:197 2:356:197:2:2 
127:176 2:127:176:2:2 
0:264 2:0:264:2:2 
175:240 2:175:240:2:2 
