589:86 0:589:86:3:3 
548:231 0:548:231:3:3 
336:296 2:336:296:2:2 
372:33 0:372:33:3:3 
388:302 0:388:302:3:3 
775:298 2:775:298:2:2 
361:211 0:361:211:3:3 
754:106 3:754:106:3:3 
430:220 0:430:220:3:3 
840:290 0:840:290:3:3 
764:34 2:764:34:2:2 
657:244 2:657:244:2:2 
628:455 0:628:455:3:3 
215:397 0:215:397:3:3 
506:243 1:506:243:6:6 
596:144 2:596:144:2:2 
595:370 1:595:370:6:6 
219:321 0:219:321:3:3 
817:284 3:817:284:3:3 
825:114 3:825:114:3:3 
649:200 2:649:200:2:2 
327:391 0:327:391:3:3 
603:390 1:603:390:6:6 
19:160 2:19:160:2:2 
-4:15 0:-4:15:3:3 
564:326 2:564:326:2:2 
871:107 0:871:107:3:3 
789:359 2:789:359:2:2 
319:103 2:319:103:2:2 
332:397 0:332:397:3:3 
98:8 2:98:8:2:2 
755:357 0:755:357:3:3 
813:456 3:813:456:3:3 
837:99 2:837:99:2:2 
333:2 0:333:2:3:3 
554:109 3:554:109:3:3 
582:0 1:582:0:6:6 
165:115 2:165:115:2:2 
542:202 1:542:202:6:6 
464:367 2:464:367:2:2 
68:248 2:68:248:2:2 
521:146 2:521:146:2:2 
300:74 1:300:74:6:6 
625:403 2:625:403:2:2 
603:34 2:603:34:2:2 
39:168 2:39:168:2:2 
789:429 2:789:429:2:2 
399:379 0:399:379:3:3 
18:196 2:18:196:2:2 
-2:246 0:-2:246:3:3 
648:360 0:648:360:3:3 
137:49 0:137:49:3:3 
146:167 2:146:167:2:2 
688:275 2:688:275:2:2 
670:325 2:670:325:2:2 
348:473 2:348:473:2:2 
517:324 2:517:324:2:2 
406:209 0:406:209:3:3 
636:355 0:636:355:3:3 
125:193 2:125:193:2:2 
805:431 2:805:431:2:2 
782:93 2:782:93:2:2 
348:409 0:348:409:3:3 
495:91 3:495:91:3:3 
82:208 1:82:208:6:6 
49:190 1:49:190:6:6 
255:159 0:255:159:3:3 
803:306 2:803:306:2:2 
736:489 0:736:489:3:3 
502:128 2:502:128:2:2 
612:42 2:612:42:2:2 
422:107 0:422:107:3:3 
886:239 2:886:239:2:2 
117:138 2:117:138:2:2 
864:393 2:864:393:2:2 
866:46 0:866:46:3:3 
25:412 0:25:412:3:3 
96:252 2:96:252:2:2 
739:453 2:739:453:2:2 
549:165 2:549:165:2:2 
199:346 0:199:346:3:3 
657:167 2:657:167:2:2 
163:151 3:163:151:3:3 
882:303 0:882:303:3:3 
506:214 2:506:214:2:2 
801:337 1:801:337:6:6 
570:287 2:570:287:2:2 
711:252 3:711:252:3:3 
238:469 0:238:469:3:3 
582:437 0:582:437:3:3 
739:63 2:739:63:2:2 
656:25 0:656:25:3:3 
82:380 0:82:380:3:3 
348:205 0:348:205:3:3 
408:213 0:408:213:3:3 
371:373 3:371:373:3:3 
499:486 2:499:486:2:2 
286:67 1:286:67:6:6 
511:56 0:511:56:3:3 
-3:363 0:-3:363:3:3 
677:116 3:677:116:3:3 
715:13 0:715:13:3:3 
530:267 0:530:267:3:3 
798:429 1:798:429:6:6 
