499:232 2:499:232:2:2 
39:483 0:39:483:3:3 
855:317 2:855:317:2:2 
279:369 2:279:369:2:2 
545:334 0:545:334:3:3 
251:365 2:251:365:2:2 
293:473 0:293:473:3:3 
193:454 0:193:454:3:3 
685:318 1:685:318:6:6 
803:57 2:803:57:2:2 
675:241 2:675:241:2:2 
78:11 0:78:11:3:3 
792:435 3:792:435:3:3 
572:300 2:572:300:2:2 
355:199 2:355:199:2:2 
839:47 1:839:47:6:6 
361:168 1:361:168:6:6 
598:452 2:598:452:2:2 
375:311 1:375:311:6:6 
332:62 0:332:62:3:3 
685:351 2:685:351:2:2 
385:32 2:385:32:2:2 
702:11 0:702:11:3:3 
818:79 2:818:79:2:2 
834:419 1:834:419:6:6 
565:435 2:565:435:2:2 
838:421 2:838:421:2:2 
450:80 2:450:80:2:2 
216:81 0:216:81:3:3 
767:78 2:767:78:2:2 
649:74 2:649:74:2:2 
195:137 3:195:137:3:3 
815:82 2:815:82:2:2 
378:135 0:378:135:3:3 
51:158 0:51:158:3:3 
467:217 0:467:217:3:3 
829:397 2:829:397:2:2 
446:388 2:446:388:2:2 
650:406 1:650:406:6:6 
200:82 0:200:82:3:3 
682:235 2:682:235:2:2 
481:429 0:481:429:3:3 
798:299 1:798:299:6:6 
686:279 0:686:279:3:3 
89:220 0:89:220:3:3 
628:186 2:628:186:2:2 
662:56 2:662:56:2:2 
603:270 2:603:270:2:2 
178:408 0:178:408:3:3 
698:322 2:698:322:2:2 
578:291 3:578:291:3:3 
105:146 2:105:146:2:2 
863:344 2:863:344:2:2 
368:433 0:368:433:3:3 
740:295 0:740:295:3:3 
220:-1 0:220:-1:3:3 
775:65 2:775:65:2:2 
236:33 0:236:33:3:3 
370:120 0:370:120:3:3 
445:479 2:445:479:2:2 
685:102 1:685:102:6:6 
864:198 3:864:198:3:3 
629:359 0:629:359:3:3 
217:418 3:217:418:3:3 
114:203 0:114:203:3:3 
593:260 2:593:260:2:2 
196:333 0:196:333:3:3 
827:300 2:827:300:2:2 
668:386 2:668:386:2:2 
247:142 0:247:142:3:3 
415:237 0:415:237:3:3 
287:138 3:287:138:3:3 
333:265 0:333:265:3:3 
348:330 0:348:330:3:3 
483:62 1:483:62:6:6 
127:204 3:127:204:3:3 
21:464 3:21:464:3:3 
521:485 1:521:485:6:6 
205:70 0:205:70:3:3 
583:99 0:583:99:3:3 
48:267 3:48:267:3:3 
695:138 2:695:138:2:2 
403:301 2:403:301:2:2 
785:365 0:785:365:3:3 
23:312 0:23:312:3:3 
507:314 0:507:314:3:3 
249:70 2:249:70:2:2 
237:453 2:237:453:2:2 
126:271 2:126:271:2:2 
833:318 1:833:318:6:6 
154:342 3:154:342:3:3 
159:431 0:159:431:3:3 
857:231 0:857:231:3:3 
223:332 0:223:332:3:3 
65:361 0:65:361:3:3 
661:455 2:661:455:2:2 
434:171 0:434:171:3:3 
460:195 0:460:195:3:3 
273:415 2:273:415:2:2 
210:381 2:210:381:2:2 
734:51 2:734:51:2:2 
117:460 0:117:460:3:3 
603:439 2:603:439:2:2 
308:444 0:308:444:3:3 
831:288 2:831:288:2:2 
153:252 2:153:252:2:2 
